datetime,realized_volatility,trend,seasonal
2025-06-30 22:15:00,0.0008139517806148,0.00093755277479056,-0.0001384375442435678
2025-06-30 22:30:00,0.0010126817006772,0.0009453439790617919,-0.000186402669459993
2025-06-30 22:45:00,0.001261726645437,0.0009531538149247644,-1.5270604953317754e-05
2025-06-30 23:00:00,0.0012971073541241,0.0009609812417077543,0.00017204602011070135
2025-06-30 23:15:00,0.0012593883430941,0.0009688243894447116,-2.1554288867680797e-05
2025-06-30 23:30:00,0.0011461533098932,0.0009766807256755005,0.0001513277899584648
2025-06-30 23:45:00,0.0010363748291386,0.0009845470074903745,-0.00012881008341075867
2025-07-01 00:00:00,0.0009935587641205,0.000992419637813633,-9.566539439056145e-05
2025-07-01 00:15:00,0.0008262778248106,0.001000294538936359,-0.0001009687923607256
2025-07-01 00:30:00,0.0008157672497936,0.0010081672932006236,-5.132060215939027e-05
2025-07-01 00:45:00,0.001176520204441,0.0010160334993916974,0.00011743366011518957
2025-07-01 01:00:00,0.0016592928516023,0.0010238888880138009,0.0008045786239736843
2025-07-01 01:15:00,0.0016334602954954,0.0010317291371559694,0.0007906790140334606
2025-07-01 01:30:00,0.0016443396415208,0.0010395501515173475,0.0007137488074188022
2025-07-01 01:45:00,0.0014338761993824,0.001047348161521693,0.0005995423113730195
2025-07-01 02:00:00,0.0009562706519832,0.0010551196649592422,0.0001954613040185093
2025-07-01 02:15:00,0.0008595068623927,0.0010628615924732025,0.00022188255238691346
2025-07-01 02:30:00,0.000977572629727,0.0010705715102561737,0.00011717309757753024
2025-07-01 02:45:00,0.0008882784927958,0.001078247760059426,-7.89561866230801e-05
2025-07-01 03:00:00,0.0008167983508914,0.0010858892754845822,-0.00011121704167837938
2025-07-01 03:15:00,0.0014273911499126,0.0010934954462422663,0.0004905469572884116
2025-07-01 03:30:00,0.0013250077239425,0.001101066195906469,0.00017405102877159886
2025-07-01 03:45:00,0.0012380022009708,0.0011086019768541068,9.05163757732203e-05
2025-07-01 04:00:00,0.0011990852465042,0.0011161035157143272,-5.432221892887806e-05
2025-07-01 04:15:00,0.0005186801957289,0.00112357174688042,-0.0004499907573997046
2025-07-01 04:30:00,0.0004827095421245,0.0011310078026615083,-0.00028919882882196544
2025-07-01 04:45:00,0.0004742437399393,0.001138413531319874,-0.00019143617064414352
2025-07-01 05:00:00,0.0015667664115703,0.0011457920179493092,0.00044934474852933114
2025-07-01 05:15:00,0.0015247719155814,0.0011531478045945717,0.0004145922634717827
2025-07-01 05:30:00,0.0015268167924504,0.0011604865600452665,0.0001822430151299407
2025-07-01 05:45:00,0.001600177570714,0.0011678150352984987,0.0001305065852682225
2025-07-01 06:00:00,0.0006002124421692,0.0011751407872331481,-0.0004874193401587085
2025-07-01 06:15:00,0.0005568559995044,0.0011824721703834744,-0.0006059623522120598
2025-07-01 06:30:00,0.0012605601522266,0.0011898191167570185,-0.0002659447537232368
2025-07-01 06:45:00,0.0011797559597863,0.001197193340128371,-0.00019935338684386547
2025-07-01 07:00:00,0.0018925691371245,0.0012046080221700206,0.0006313020583561351
2025-07-01 07:15:00,0.0020181576173876,0.0012120782980150446,0.0006575027289074684
2025-07-01 07:30:00,0.0017053002402626,0.0012196220637867752,0.0002076279486651763
2025-07-01 07:45:00,0.0018185402607357,0.0012272604863678785,-0.00048085950068085836
2025-07-01 08:00:00,0.0011285355596838,0.0012350184609944293,-0.00039189188294589414
2025-07-01 08:15:00,0.0010399912093879,0.0012429253144612316,-0.0004217554831186898
2025-07-01 08:30:00,0.0010209239086605,0.0012510158042491459,-0.000353519639122867
2025-07-01 08:45:00,0.0008173305022074,0.0012593307019334453,-0.0004240236190729558
2025-07-01 09:00:00,0.0007242651210466,0.0012679156734107604,-0.0008371483421204339
2025-07-01 09:15:00,0.0009487397646552,0.0012768152843217711,-0.00043504237774047357
2025-07-01 09:30:00,0.0012688247816764,0.0012860560570452796,-0.00017870151410893622
2025-07-01 09:45:00,0.0012550282976743,0.0012956158188340316,-0.00016417718131219773
2025-07-01 10:00:00,0.00135579774815,0.0013012489375278642,6.741594289013731e-05
2025-07-01 10:15:00,0.0010883553003174,0.0013061846431505764,-0.0002454083869116381
2025-07-01 10:30:00,0.0007020584092294,0.0013103642136217833,-0.000259512228315813
2025-07-01 10:45:00,0.0007262194179412,0.0013137491152496747,-0.0001706100465198967
2025-07-01 11:00:00,0.0008467549802491,0.0013163256999348782,6.305731109705648e-05
2025-07-01 11:15:00,0.0008466894501419,0.001318103817505693,0.0003727661925651424
2025-07-01 11:30:00,0.0012082195898557,0.0013191120911343573,0.00014417864587889191
2025-07-01 11:45:00,0.0011904946752562,0.0013193987821857457,0.00029696137963804425
2025-07-01 12:00:00,0.0010785758291157,0.0013190322592397362,0.00013898521098733822
2025-07-01 12:15:00,0.0011602996005713,0.0013180884024279458,-0.0001545604707066032
2025-07-01 12:30:00,0.0013306027707051,0.0013166569402564719,-0.0001224621043963642
2025-07-01 12:45:00,0.0013981300161083,0.0013148332812899753,0.00012969968856448916
2025-07-01 13:00:00,0.0024307044003694,0.0013127147073102579,0.0006727810658437622
2025-07-01 13:15:00,0.0024431384567033,0.0013103998561167474,0.0006880819083525367
2025-07-01 13:30:00,0.0022813794668858,0.0013079811297235923,0.0005844861295986537
2025-07-01 13:45:00,0.0026384169300224,0.0013055298165610793,0.00044089548937359065
2025-07-01 14:00:00,0.0018302657133284,0.0013030891346641708,0.0001411287458997308
2025-07-01 14:15:00,0.0019255475439446,0.0013006758485675366,0.00011288670199696769
